positive_skew,negative_skew,YJ
1710,0.370889117,-0.370889117
1262,1.942639867,-1.942639867
1786,0.713837987,-0.713837987
1717,1.577300939,-1.577300939
2198,0.84532965,-0.84532965
1362,1.203565919,-1.203565919
1694,0.521034223,-0.521034223
2090,1.376528489,-1.376528489
1774,1.421207432,-1.421207432
1077,1.530830358,-1.530830358
1040,1.432177676,-1.432177676
2324,0.334779768,-0.334779768
912,1.512616418,-1.512616418
1494,0.8763549,-0.8763549
1253,1.260990021,-1.260990021
854,1.176299659,-1.176299659
1004,1.973393904,-1.973393904
1296,1.042601113,-1.042601113
1114,0.959774944,-0.959774944
1339,1.103288296,-1.103288296
2376,0.901385861,-0.901385861
1108,1.348770988,-1.348770988
1795,0.998046132,-0.998046132
1060,1.102380643,-1.102380643
1060,1.845420522,-1.845420522
1600,0.240361927,-0.240361927
900,1.014367686,-1.014367686
1704,0.301102352,-0.301102352
1600,1.490989686,-1.490989686
520,1.17999361,-1.17999361
1317,1.497016626,-1.497016626
1228,1.974205364,-1.974205364
1234,0.081687772,-0.081687772
1700,1.894146063,-1.894146063
1561,0.32864775,-0.32864775
2452,0.23361921,-0.23361921
1097,1.283912575,-1.283912575
1297,1.68031109,-1.68031109
1057,1.81379443,-1.81379443
1152,1.091492423,-1.091492423
1324,1.063485842,-1.063485842
1328,1.177939332,-1.177939332
884,1.23866033,-1.23866033
938,1.613996542,-1.613996542
1150,1.221505544,-1.221505544
1752,0.969705991,-0.969705991
2149,0.382555751,-0.382555751
1656,0.375586306,-0.375586306
1452,1.088129959,-1.088129959
955,1.870115607,-1.870115607
1470,1.687226601,-1.687226601
1176,1.525083439,-1.525083439
816,1.155481559,-1.155481559
1842,1.644315864,-1.644315864
1360,1.803964847,-1.803964847
1425,1.337279343,-1.337279343
1739,1.062678814,-1.062678814
1720,0.24925206,-0.24925206
2945,0.941141806,-0.941141806
780,1.842225102,-1.842225102
1158,0.319089818,-0.319089818
1111,1.902631614,-1.902631614
1370,0.141946887,-0.141946887
1710,1.855899904,-1.855899904
2034,1.678773758,-1.678773758
2473,0.808808732,-0.808808732
2207,1.79425338,-1.79425338
1479,0.795654691,-0.795654691
747,1.382875199,-1.382875199
2287,1.981109612,-1.981109612
2223,1.280930488,-1.280930488
845,1.080117571,-1.080117571
1718,1.246569705,-1.246569705
1086,1.985662889,-1.985662889
1605,1.320042611,-1.320042611
988,1.37406789,-1.37406789
952,1.8187842,-1.8187842
1285,1.32992294,-1.32992294
1768,1.185857941,-1.185857941
1230,1.692613624,-1.692613624
2142,1.736652182,-1.736652182
1337,1.565603772,-1.565603772
1563,0.44546068,-0.44546068
1065,1.249272798,-1.249272798
1474,1.531253796,-1.531253796
2417,1.629958707,-1.629958707
1560,0.276085732,-0.276085732
1224,0.919633744,-0.919633744
1526,1.440675708,-1.440675708
990,1.764354472,-1.764354472
1040,1.937603545,-1.937603545
1235,1.108898815,-1.108898815
964,1.650018261,-1.650018261
2291,1.10992605,-1.10992605
1786,1.086443025,-1.086443025
1470,1.778492111,-1.778492111
1588,1.201832587,-1.201832587
960,1.860994967,-1.860994967
835,1.935584432,-1.935584432
1225,1.035738855,-1.035738855
1610,1.672580233,-1.672580233
1732,1.102601263,-1.102601263
1535,1.688416153,-1.688416153
1226,0.698848474,-0.698848474
